POST_DATE,SERVICE_DATE,PROPERTY_CODE,BOOKINGS_SOURCE,ROOMS,ARRIVALS,POPULATION,CONTRACT_CODE
2021-10-30,2021-12-14,DH,TW,12,3,36,WGETA21
2021-10-30,2021-11-20,DH,TW,1,0,3,WSWST21
2021-10-30,2021-12-07,DH,GR,5,5,16,GDIL21A
2021-10-30,2021-11-27,PH,TW,10,5,35,WDVC21
2021-10-30,2021-11-06,PH,TW,16,4,50,WDVC21
2021-10-30,2021-11-28,CH,TD,287,176,999,*
2021-10-30,2022-01-08,CH,GT,6,0,19,*
2021-10-30,2021-11-02,CH,WI,0,0,0,*
2021-10-30,2022-01-02,CH,TW,4,0,9,WJALP21
2021-10-30,2021-11-20,DH,BA,6,5,6,HDHK21A
2021-10-30,2021-11-01,PH,GR,3,2,9,GDCJ21B
2021-10-30,2021-12-05,CH,GR,0,0,0,GCSL21A
2021-10-30,2021-11-09,CH,GR,36,0,36,NCFK21A
2021-10-30,2021-11-22,PH,DO,5,0,5,*
2021-10-30,2021-12-09,DH,GT,12,6,37,*
2021-10-30,2022-01-02,PH,TI,24,12,88,*
2021-10-30,2021-12-29,PH,TD,366,85,1292,*
2021-10-30,2022-01-12,DH,BW,3,0,7,IDIA22E
2021-10-30,2021-12-20,DH,CP,2,1,2,*
2021-10-30,2021-12-11,DH,GR,0,0,0,GDIL21A
2021-10-30,2022-01-23,DH,GR,11,0,33,GDGA22A
2021-10-30,2022-01-15,DH,TW,0,0,0,WACCU22
2021-10-30,2021-11-18,PH,TW,17,5,52,WDVC21
2021-10-30,2021-11-12,CH,TI,148,29,482,*
2021-10-30,2022-01-27,CH,TW,4,1,17,WGETA22
2021-10-30,2021-11-28,CH,GT,8,5,23,*
2021-10-30,2022-01-21,CH,TW,4,1,14,WGETA22
2021-10-30,2021-11-26,CH,BW,1,1,2,ICIK21H
2021-10-30,2021-11-15,CH,GT,10,0,22,LCHK21A
2021-10-30,2021-12-08,PH,TD,249,62,743,*
2021-10-30,2021-11-08,PH,TD,160,62,492,*
2021-10-30,2021-12-28,PH,TW,2,0,5,WSWST21
2021-10-30,2022-01-04,PH,RO,11,3,30,*
2021-10-30,2021-12-20,PH,TW,34,9,122,WDVC21
2021-10-30,2021-11-12,CH,GT,9,1,30,*
2021-10-30,2021-12-30,CH,TI,128,61,484,*
2021-10-30,2021-11-20,CH,TW,0,0,0,WDDMX21
2021-10-30,2021-11-03,CH,DO,3,2,6,*
2021-10-30,2021-11-14,CH,TW,0,0,0,WDDMX21
2021-10-30,2021-11-05,DH,TW,16,10,46,WDVC21
2021-10-30,2021-11-29,PH,BW,1,0,3,IDIJ20U
2021-10-30,2021-11-03,PH,GR,30,7,41,GDCJ21B
2021-10-30,2021-12-01,CH,DO,1,1,5,*
2021-10-30,2021-11-27,CH,BW,0,0,0,ICIK21H
2021-10-30,2021-12-01,DH,GT,24,12,97,*
2021-10-30,2022-01-17,DH,TI,28,10,101,*
2021-10-30,2021-12-23,PH,TW,8,5,22,WEXP21
2021-10-30,2021-11-08,PH,TW,16,9,37,WEXP21
2021-10-30,2022-01-18,PH,GT,1,0,5,*
2021-10-30,2021-12-13,PH,TW,1,0,5,WINSG21
2021-10-30,2022-01-31,PH,TD,44,14,140,*
2021-10-30,2021-12-14,PH,TW,14,2,39,WDVC21
2021-10-30,2021-11-02,PH,RO,12,0,38,*
2021-10-30,2021-11-08,CH,TI,202,89,597,*
2021-10-30,2021-12-05,CH,TI,247,159,745,*
2021-10-30,2022-01-20,CH,RO,13,1,46,*
2021-10-30,2022-01-15,CH,RO,27,5,93,*
2021-10-30,2022-01-28,CH,TW,1,0,3,WABRE22
2021-10-30,2022-01-18,CH,TW,2,2,6,WGETA22
2021-10-30,2021-12-21,CH,BW,2,2,4,ICIL21K
2021-10-30,2021-11-20,CH,GR,3,0,8,GCEK21A
2021-10-30,2021-12-03,CH,GR,15,15,30,GCAL21B
2021-10-30,2021-11-21,DH,TW,1,1,4,WMICK21
2021-10-30,2022-01-30,DH,GR,0,0,0,GDAA22A
2021-10-30,2021-11-29,DH,GT,21,7,74,*
2021-10-30,2021-11-07,DH,RO,55,31,224,*
2021-10-30,2021-12-22,DH,TI,103,32,410,*
2021-10-30,2021-11-28,DH,TW,12,10,42,WEXP21
2021-10-30,2021-11-21,PH,TW,11,3,33,WEXP21
2021-10-30,2022-01-15,PH,TI,24,6,81,*
2021-10-30,2021-12-21,PH,TW,10,1,34,WGETA21
2021-10-30,2022-01-23,DH,RO,7,6,32,*
2021-10-30,2021-12-04,PH,TW,2,2,6,WFUNJ21
2021-10-30,2021-11-25,DH,TW,22,5,76,WGETA21
2021-10-30,2021-12-20,DH,BW,1,0,2,IDIL21E
2021-10-30,2021-12-17,DH,BW,9,4,29,IDIL21L
2021-10-30,2021-12-05,PH,BW,0,0,0,IDIL21D
2021-10-30,2021-12-25,PH,GT,1,0,2,*
2021-10-30,2021-12-14,CH,TI,214,56,645,*
2021-10-30,2021-12-01,CH,RO,124,31,428,*
2021-10-30,2021-12-31,CH,TW,1,0,4,WFUN21
2021-10-30,2021-11-01,CH,GR,5,0,19,GCMJ21A
2021-10-30,2021-12-01,CH,TW,0,0,0,WACTN21
2021-10-30,2021-11-15,DH,TW,2,2,6,WDVC21
2021-10-30,2021-11-01,CH,TW,24,13,64,WEXP21
2021-10-30,2021-12-10,CH,TW,15,13,40,WEXP21
2021-10-30,2021-12-14,CH,TW,1,1,3,WFUNJ21
2021-10-30,2021-12-22,CH,TW,1,0,3,WINSG21
2021-10-30,2021-11-06,CH,TW,0,0,0,WSWST21
2021-10-30,2022-01-03,CH,GR,8,5,9,GCDL21B
2021-10-30,2021-11-24,CH,BW,0,0,0,ICIK21C
2021-10-30,2021-11-01,CH,BW,1,1,2,ICIK21F
2021-10-30,2021-12-07,DH,DO,0,0,0,*
2021-10-30,2021-11-13,DH,GR,47,20,123,GDCK21A
2021-10-30,2021-11-19,DH,RO,88,41,289,*
2021-10-30,2021-11-08,DH,TI,154,59,483,*
2021-10-30,2021-11-27,DH,TW,31,28,91,WDVC21
2021-10-30,2021-11-15,PH,TI,105,46,291,*
2021-10-30,2021-11-16,PH,TI,114,52,311,*
2021-10-30,2021-11-02,PH,TD,166,39,507,*
2021-10-30,2021-12-15,PH,RO,35,13,99,*
2021-10-30,2022-01-01,PH,TW,3,0,12,WGETA21
2021-10-30,2022-01-14,PH,TD,60,19,190,*
2021-10-30,2022-01-26,DH,RO,9,1,31,*
2021-10-30,2022-01-27,PH,TW,0,0,0,WINSG22
2021-10-30,2021-11-01,PH,TW,0,0,0,WACTN21
2021-10-30,2021-12-03,DH,TW,12,2,50,WGETA21
2021-10-30,2021-12-12,DH,BW,0,0,0,ICIL21C
2021-10-30,2021-12-11,DH,GR,1,1,4,NDIL21A
2021-10-30,2021-12-22,PH,BW,0,0,0,IDIL21F
2021-10-30,2022-01-26,PH,TW,1,0,4,WWJET22
2021-10-30,2021-11-22,CH,RO,98,30,362,*
2021-10-30,2022-01-04,CH,TW,1,0,4,WACCU22
2021-10-30,2022-01-08,CH,TW,3,0,10,WACCU22
2021-10-30,2021-11-06,CH,TW,1,0,2,WAEIM21
2021-10-30,2021-11-19,CH,DO,3,3,6,*
2021-10-30,2021-11-25,DH,TW,4,1,15,WDVC21
2021-10-30,2021-11-18,CH,TW,18,7,49,WEXP21
2021-10-30,2021-12-01,CH,TW,1,0,2,WSWST21
2021-10-30,2022-01-21,CH,DO,1,0,4,*
2021-10-30,2021-11-17,CH,BW,0,0,0,ICIK21J
2021-10-30,2021-10-31,DH,TD,207,74,697,*
2021-10-30,2021-11-15,PH,TW,23,13,66,WEXP21
2021-10-30,2021-12-24,DH,TW,5,2,11,WACCU21
2021-10-30,2021-11-29,CH,TW,10,2,30,WDVC21
2021-10-30,2021-12-24,CH,TW,20,7,61,WDVC21
2021-10-30,2021-12-30,CH,RO,43,16,131,*
2021-10-30,2022-01-20,CH,TI,44,21,148,*
2021-10-30,2022-01-08,CH,TI,95,24,322,*
2021-10-30,2022-01-01,CH,GT,9,5,35,*
2021-10-30,2022-01-13,PH,RO,7,3,26,*
2021-10-30,2021-12-19,DH,BW,0,0,0,ICIL20H
2021-10-30,2022-01-11,PH,TW,0,0,0,WAEIM22
2021-10-30,2021-11-18,DH,GR,13,1,27,GDCK21A
2021-10-30,2021-11-29,DH,TI,184,98,625,*
2021-10-30,2021-12-06,PH,RO,42,13,133,*
2021-10-30,2021-11-14,PH,TW,16,13,47,WEXP21
2021-10-30,2021-11-16,PH,TW,1,0,5,WFUNJ21
2021-10-30,2021-11-30,PH,TW,12,6,35,WGETA21
2021-10-30,2022-01-21,DH,TD,56,15,234,*
2021-10-30,2022-01-30,PH,TW,1,0,2,WFUNJ22
2021-10-30,2022-01-06,DH,BW,1,1,2,IDIA22H
2021-10-30,2021-12-30,DH,TW,0,0,0,WFUNJ21
2021-10-30,2021-12-09,DH,CP,3,2,8,*
2021-10-30,2022-01-30,CH,TW,4,2,14,WINSG22
2021-10-30,2021-11-24,CH,TW,0,0,0,WAEIM21
2021-10-30,2021-12-04,DH,BA,2,2,2,HDCL21A
2021-10-30,2021-12-03,DH,BW,4,0,10,IDIK21I
2021-10-30,2021-11-11,PH,BW,2,2,5,IDIK21S
2021-10-30,2021-12-28,CH,DO,0,0,0,*
2021-10-30,2021-12-10,DH,GT,13,8,48,*
2021-10-30,2021-11-27,DH,TI,138,22,512,*
2021-10-30,2022-01-07,DH,TI,62,33,213,*
2021-10-30,2021-11-29,DH,TW,14,10,41,WEXP21
2021-10-30,2021-12-20,PH,RO,26,4,92,*
2021-10-30,2021-11-14,PH,TD,260,112,804,*
2021-10-30,2021-12-24,PH,RO,7,0,25,*
2021-10-30,2021-12-10,DH,BW,2,1,7,ICIL21C
2021-10-30,2021-11-12,DH,GR,4,4,10,GDMK21A
2021-10-30,2021-11-05,DH,GR,6,6,20,GDCK21B
2021-10-30,2021-10-31,DH,TW,2,1,8,WINSG21
2021-10-30,2021-11-18,DH,TW,1,0,3,WINSG21
2021-10-30,2021-12-01,CH,TW,2,0,6,WDVC21
2021-10-30,2021-12-07,CH,TW,16,1,46,WGETA21
2021-10-30,2022-01-21,CH,RO,16,7,85,*
2021-10-30,2022-01-17,CH,RO,11,2,31,*
2021-10-30,2021-12-20,DH,TW,35,11,99,WEXP21
2021-10-30,2021-11-27,CH,TW,0,0,0,WAEIM21
2021-10-30,2021-12-13,DH,TW,24,6,66,WDVC21
2021-10-30,2022-01-12,CH,CP,1,0,4,*
2021-10-30,2022-01-22,CH,TW,2,0,8,WGETA22
2021-10-30,2021-11-04,PH,TW,1,1,2,WACCU21
2021-10-30,2021-12-31,CH,BW,1,1,1,ICIL21T
2021-10-30,2021-12-12,CH,BW,1,0,1,IDIL21J
2021-10-30,2022-01-29,CH,GR,22,1,62,GDAA22A
2021-10-30,2021-11-19,CH,GR,10,0,19,GCIK21A
2021-10-30,2021-12-06,DH,DO,3,1,9,*
2021-10-30,2021-11-04,DH,TW,0,0,0,WDDMX21
2021-10-30,2021-12-16,DH,GT,14,1,45,*
2021-10-30,2021-12-29,DH,TW,0,0,0,WFUNJ21
2021-10-30,2021-11-08,DH,GR,1,0,4,GDCJ21B
2021-10-30,2022-01-20,DH,TW,1,1,3,WGETA22
2021-10-30,2021-10-31,CH,GT,20,7,60,*
2021-10-30,2021-11-04,CH,RO,98,42,326,*
2021-10-30,2022-01-02,CH,TW,0,0,0,WINSG21
2021-10-30,2021-11-08,CH,TW,1,0,2,WUNVA21
2021-10-30,2021-12-15,CH,GT,15,5,44,*
2021-10-30,2021-11-27,CH,GT,5,2,13,*
2021-10-30,2022-01-28,PH,TW,1,0,4,WWJET22
2021-10-30,2021-12-02,CH,TW,0,0,0,WFUNJ21
2021-10-30,2021-11-30,CH,GT,13,2,43,*
2021-10-30,2021-11-23,DH,CP,0,0,0,*
2021-10-30,2022-01-25,CH,GR,34,33,60,GDAA22A
2021-10-30,2021-12-12,CH,GR,0,0,0,NDIL21A
2021-10-30,2021-11-04,DH,TW,1,1,4,WFUNJ21
2021-10-30,2022-01-04,DH,TW,0,0,0,WACCU22
2021-10-30,2021-12-03,DH,GT,20,7,74,*
2021-10-30,2021-12-22,PH,GT,1,0,3,*
2021-10-30,2022-01-08,DH,BW,1,1,1,IDIA22E
2021-10-30,2022-01-10,DH,BW,3,0,7,IDIA22E
2021-10-30,2021-11-01,DH,BW,0,0,0,IDIJ21W
2021-10-30,2021-12-18,CH,TW,35,15,109,WDVC21
2021-10-30,2022-01-04,CH,RO,72,15,286,*
2021-10-30,2022-01-01,CH,TI,138,51,538,*
2021-10-30,2021-12-10,CH,TW,2,2,4,WSWST21
2021-10-30,2022-01-13,CH,TW,7,0,24,WGETA22
2021-10-30,2021-12-31,DH,TW,10,2,29,WDVC21
2021-10-30,2021-12-07,CH,BW,0,0,0,ICIL21G
2021-10-30,2021-12-08,CH,DO,1,0,4,*
2021-10-30,2021-11-07,DH,TW,1,0,4,WFUNJ21
2021-10-30,2021-11-07,DH,TI,138,84,440,*
2021-10-30,2021-11-15,DH,TD,316,114,1020,*
2021-10-30,2022-01-23,DH,GT,16,6,81,*
2021-10-30,2022-01-22,DH,RO,7,3,33,*
2021-10-30,2021-12-10,PH,TW,14,4,42,WEXP21
2021-10-30,2021-12-28,PH,TW,1,1,2,WEXP21
2021-10-30,2021-10-31,PH,TW,8,4,33,WGETA21
2021-10-30,2021-11-27,PH,TW,0,0,0,WFUNJ21
2021-10-30,2021-12-18,DH,TD,407,159,1462,*
2021-10-30,2022-01-21,DH,GT,11,4,66,*
2021-10-30,2022-01-09,DH,RO,23,12,116,*
2021-10-30,2021-12-02,DH,BW,1,0,4,ICIL21J
2021-10-30,2021-12-06,DH,GR,26,13,76,GDML21A
2021-10-30,2021-12-14,CH,TW,11,0,26,WDVC21
2021-10-30,2021-12-03,CH,TD,413,118,1426,*
2021-10-30,2021-12-07,CH,TW,5,0,18,WINSG21
2021-10-30,2021-12-04,PH,GT,1,0,2,*
2021-10-30,2021-12-01,PH,GT,12,6,32,*
2021-10-30,2021-12-30,CH,TW,3,1,11,WEXP21
2021-10-30,2021-11-29,DH,TW,30,10,86,WDVC21
2021-10-30,2021-12-07,DH,TW,3,2,6,WDVC21
2021-10-30,2022-01-14,DH,CP,2,0,8,*
2021-10-30,2021-12-03,CH,GR,18,2,30,GCCL21C
2021-10-30,2021-11-21,DH,GT,14,6,55,*
2021-10-30,2021-12-16,PH,TI,45,18,134,*
2021-10-30,2021-11-14,PH,RO,33,19,99,*
2021-10-30,2021-11-18,PH,TI,88,33,269,*
2021-10-30,2021-11-14,DH,TW,0,0,0,WINSG21
2021-10-30,2021-11-14,DH,BW,3,0,7,IDIK21U
2021-10-30,2021-12-11,DH,TW,9,3,32,WGETA21
2021-10-30,2021-12-30,DH,TW,13,4,50,WGETA21
2021-10-30,2021-12-21,DH,TW,10,0,31,WINSG21
2021-10-30,2021-12-28,DH,BW,3,0,4,ICIL21H
2021-10-30,2022-01-21,DH,GR,2,2,6,GCKA22A
